name,kind,declaredLine,declarationEndLine,declarationLines,callSiteCount,consumerFiles,verdict,targetPackage,frictionAbsorbed,adrNote
createModelProvider,re-export,4,4,1,31,examples/ecommerce/src/main.ts:3; packages/core/src/cascade/index.ts:2; packages/core/src/providers/chrome-ai.ts:2; packages/core/src/providers/web-llm.ts:2; packages/core/test/agent.test.ts:12; scripts/research-suite.mjs:1; site/src/adminDemo.ts:2; site/src/cascadeDemo.ts:4; site/src/docsContent.ts:1; site/src/opsDemo.ts:2,KEEP-CORE,core,Absorbs provider-normalization friction so adopters can plug AI SDK-compatible models into the same cascade contract instead of special-casing every runtime.,Absorbs provider-normalization friction so adopters can plug AI SDK-compatible models into the same cascade contract instead of special-casing every runtime.
resolveModel,re-export,4,4,1,6,packages/core/src/agent.ts:2; packages/core/src/cascade/index.ts:1; packages/core/test/agent.test.ts:3,KEEP-CORE,core,"Absorbs cascade fallthrough friction so each app does not reimplement local-first routing, status callbacks, and no-model behavior.","Absorbs cascade fallthrough friction so each app does not reimplement local-first routing, status callbacks, and no-model behavior."
CascadeReadinessOptions,type-reexport,5,5,1,5,packages/core/src/cascade/readiness.ts:5,KEEP-CORE,core,"Absorbs readiness-controller configuration friction so apps can declare providers, required capabilities, fallback policy, and UI callbacks in one object.","Absorbs readiness-controller configuration friction so apps can declare providers, required capabilities, fallback policy, and UI callbacks in one object."
CascadeReadinessSnapshot,type-reexport,5,5,1,40,packages/core/src/agent.ts:2; packages/core/src/cascade/index.ts:2; packages/core/src/cascade/readiness.ts:20; packages/ui/src/index.ts:4; site/src/cascadeDemo.ts:12,KEEP-CORE,core,"Absorbs browser-model readiness-state friction by giving UIs a single snapshot for provider states, capabilities, missing requirements, and allowed actions.","Absorbs browser-model readiness-state friction by giving UIs a single snapshot for provider states, capabilities, missing requirements, and allowed actions."
CascadeRecommendedAction,type-reexport,5,5,1,8,packages/core/src/cascade/readiness.ts:8,KEEP-CORE,core,"Absorbs end-user next-action copy/control friction so UIs can show prompt, fallback, retry, or hide decisions from the readiness controller.","Absorbs end-user next-action copy/control friction so UIs can show prompt, fallback, retry, or hide decisions from the readiness controller."
EdgeCascadeReadinessController,type-reexport,5,5,1,8,packages/core/src/agent.ts:2; packages/core/src/cascade/readiness.ts:2; packages/ui/src/index.ts:4,KEEP-CORE,core,"Absorbs ongoing readiness orchestration friction by exposing check, subscribe, prompt, fallback, hide, and retry controls as a stable controller.","Absorbs ongoing readiness orchestration friction by exposing check, subscribe, prompt, fallback, hide, and retry controls as a stable controller."
createCascadeReadinessController,re-export,6,6,1,30,examples/cloudflare-sidecar/src/client.ts:2; packages/core/src/cascade/readiness.ts:1; packages/core/test/agent.test.ts:9; scripts/clean-room-adoption.mjs:2; site/src/answerComposer.test.ts:1; site/src/answerComposer.ts:1; site/src/cascadeDemo.ts:3; site/src/content.ts:1; site/src/docsContent.ts:8; site/src/main.ts:2,KEEP-CORE,core,"Absorbs end-user readiness/download-state friction so apps can show the right action for Chrome AI, WebLLM, server, or no-model states.","Absorbs end-user readiness/download-state friction so apps can show the right action for Chrome AI, WebLLM, server, or no-model states."
AgentEvent,type-reexport,7,7,1,45,packages/agui/src/index.ts:7; packages/core/src/agent.ts:9; packages/core/src/compat/agui.ts:6; packages/core/test/agent.test.ts:1; packages/react/src/index.ts:5; packages/react/test/index.test.ts:3; packages/ui/src/index.test.ts:12; packages/ui/src/index.ts:2,KEEP-CORE,core,"Absorbs agent-to-UI streaming friction by exposing one event union for status, text, tool calls/results, approvals, activity, views, errors, and done.","Absorbs agent-to-UI streaming friction by exposing one event union for status, text, tool calls/results, approvals, activity, views, errors, and done."
CreateAgentOptions,type-reexport,7,7,1,26,packages/core/src/agent.ts:7; packages/core/src/compat/cache.ts:2; packages/core/src/compat/skills.ts:6; packages/skills/src/index.ts:5; packages/ui/src/index.ts:6,KEEP-CORE,core,"Absorbs integration-wiring friction by collecting model cascade, tools, providers, policy, context, telemetry, and callbacks into one entry-point contract.","Absorbs integration-wiring friction by collecting model cascade, tools, providers, policy, context, telemetry, and callbacks into one entry-point contract."
EdgeAgent,type-reexport,7,7,1,17,packages/agui/src/index.ts:2; packages/core/src/agent.ts:2; packages/core/src/compat/agui.ts:2; packages/core/test/agent.test.ts:1; packages/react/src/index.ts:5; packages/react/test/index.test.ts:2; packages/ui/src/index.ts:3,KEEP-CORE,core,"Absorbs UI/runtime boundary friction by exposing send, approval-resume, and reset as the small agent contract web components and wrappers consume.","Absorbs UI/runtime boundary friction by exposing send, approval-resume, and reset as the small agent contract web components and wrappers consume."
EdgeToolRepairOptions,type-reexport,7,7,1,4,packages/core/src/agent.ts:4,KEEP-CORE,core,Absorbs bounded tool-repair configuration friction so validation retries stay explicit and limited instead of becoming hidden self-repair loops.,Absorbs bounded tool-repair configuration friction so validation retries stay explicit and limited instead of becoming hidden self-repair loops.
createAgent,re-export,8,8,1,43,packages/core/src/agent.ts:1; packages/core/test/agent.test.ts:18; packages/ui/src/index.ts:2; scripts/research-suite.mjs:5; site/index.html:1; site/src/docsContent.ts:15; tests/e2e/docs.spec.ts:1,KEEP-CORE,core,"Absorbs the wiring friction of provider cascade, tools, approvals, telemetry, history, and context so adopters do not rebuild an unsafe mini-orchestrator for every app.","Absorbs the wiring friction of provider cascade, tools, approvals, telemetry, history, and context so adopters do not rebuild an unsafe mini-orchestrator for every app."
chromeAI,re-export,9,9,1,49,examples/cloudflare-sidecar/src/client.ts:3; examples/ecommerce/src/main.ts:3; packages/cli/src/index.ts:2; packages/core/src/agent.ts:2; packages/core/src/cascade/readiness.ts:2; packages/core/src/providers/chrome-ai.ts:1; scripts/clean-room-adoption.mjs:3; site/index.html:2; site/src/adminDemo.ts:2; site/src/answerComposer.ts:1; site/src/cascadeDemo.ts:2; site/src/docsContent.ts:13; site/src/main.ts:7; site/src/opsDemo.ts:2; site/src/siteAssistant.ts:2; tests/fixtures/fresh-app/src/main.tsx:2,KEEP-CORE,core,Absorbs Chrome AI availability and gesture-state friction so adopters do not expose raw browser API failures or skip the zero-marginal-cost path.,Absorbs Chrome AI availability and gesture-state friction so adopters do not expose raw browser API failures or skip the zero-marginal-cost path.
WebLLMOptions,type-reexport,10,10,1,2,packages/core/src/providers/web-llm.ts:2,KEEP-CORE,core,Absorbs WebLLM provider selection friction by making model ID and label configurable without exposing the underlying runtime setup.,Absorbs WebLLM provider selection friction by making model ID and label configurable without exposing the underlying runtime setup.
webLLM,re-export,11,11,1,27,examples/cloudflare-sidecar/src/client.ts:3; examples/ecommerce/src/main.ts:3; packages/core/src/agent.ts:2; packages/core/src/cascade/readiness.ts:2; packages/core/src/providers/web-llm.ts:1; site/index.html:2; site/src/cascadeDemo.ts:2; site/src/docsContent.ts:6; site/src/main.ts:2; spike/src/main.ts:4,KEEP-CORE,core,Absorbs WebGPU/WebLLM provider setup friction so adopters can offer a browser fallback without learning model registry and worker details first.,Absorbs WebGPU/WebLLM provider setup friction so adopters can offer a browser fallback without learning model registry and worker details first.
EdgeActivityEvent,type-reexport,12,12,1,16,packages/core/src/agent.ts:5; packages/core/src/compat/governance.ts:2; packages/core/src/telemetry.ts:1; packages/governance/src/index.ts:2; packages/react/src/index.ts:3; packages/ui/src/index.ts:3,KEEP-CORE,core,Absorbs progress-state UI friction by exposing safe orchestration activity without leaking hidden reasoning or chain-of-thought.,Absorbs progress-state UI friction by exposing safe orchestration activity without leaking hidden reasoning or chain-of-thought.
EdgeTelemetryEvent,type-reexport,12,12,1,18,packages/agui/src/index.ts:4; packages/core/src/compat/agui.ts:1; packages/core/src/telemetry.ts:10; packages/ui/src/index.ts:3,KEEP-CORE,core,"Absorbs observability payload friction by giving adopters one typed event shape for runs, model choice, tools, approvals, errors, and UI actions.","Absorbs observability payload friction by giving adopters one typed event shape for runs, model choice, tools, approvals, errors, and UI actions."
EdgeTelemetrySink,type-reexport,12,12,1,16,packages/agui/src/index.ts:5; packages/core/src/agent.ts:3; packages/core/src/compat/agui.ts:3; packages/core/src/telemetry.ts:3; site/src/siteAssistant.ts:2,KEEP-CORE,core,"Absorbs monitoring-integration friction by letting adopters route Edgekit events to PostHog, OpenTelemetry, Datadog, or custom stores through one contract.","Absorbs monitoring-integration friction by letting adopters route Edgekit events to PostHog, OpenTelemetry, Datadog, or custom stores through one contract."
EdgeIdentityProvider,type-reexport,13,13,1,4,packages/core/src/agent.ts:2; packages/core/src/context.ts:2,KEEP-CORE,core,Absorbs public-identity bridging friction for apps that expose roles or permissions separately from a full session provider.,Absorbs public-identity bridging friction for apps that expose roles or permissions separately from a full session provider.
EdgeSessionContext,type-reexport,13,13,1,30,packages/agui/src/index.ts:6; packages/core/src/agent.ts:6; packages/core/src/compat/agui.ts:2; packages/core/src/compat/cache.ts:2; packages/core/src/compat/knowledge.ts:2; packages/core/src/compat/routing.ts:2; packages/core/src/context.ts:7; packages/knowledge/src/index.ts:3,KEEP-CORE,core,"Absorbs the host-authority boundary by grouping public identity, auth transport, and state summary into one tool-execution context object.","Absorbs the host-authority boundary by grouping public identity, auth transport, and state summary into one tool-execution context object."
EdgeSessionProvider,type-reexport,13,13,1,4,packages/core/src/agent.ts:2; packages/core/src/context.ts:2,KEEP-CORE,core,Absorbs async session hydration friction so adopters can bridge their existing auth/session layer into Edgekit without putting secrets in prompts.,Absorbs async session hydration friction so adopters can bridge their existing auth/session layer into Edgekit without putting secrets in prompts.
EdgeStateProvider,type-reexport,13,13,1,4,packages/core/src/agent.ts:2; packages/core/src/context.ts:2,KEEP-CORE,core,Absorbs page/workflow-state hydration friction so tools receive concise app state without raw DOM dumps or model-owned authority.,Absorbs page/workflow-state hydration friction so tools receive concise app state without raw DOM dumps or model-owned authority.
EdgeToolExecutionContext,type-reexport,13,13,1,44,packages/core/src/agent.ts:7; packages/core/src/compat/governance.ts:7; packages/core/src/compat/mcp.ts:3; packages/core/src/compat/parallel.ts:3; packages/core/src/context.ts:3; packages/governance/src/index.ts:8; packages/knowledge/src/index.ts:2; packages/mcp/src/index.ts:4; packages/ui/src/index.ts:7,KEEP-CORE,core,"Absorbs governed tool-execution friction by carrying session, identity, auth, state, and cancellation metadata to host-owned tools.","Absorbs governed tool-execution friction by carrying session, identity, auth, state, and cancellation metadata to host-owned tools."
EdgeToolManifest,type-reexport,13,13,1,9,packages/core/src/agent.ts:2; packages/core/src/compat/parallel.ts:2; packages/core/src/context.ts:5,KEEP-CORE,core,Absorbs dynamic tool exposure metadata friction so apps can describe tool permissions and safety without making every tool executable upfront.,Absorbs dynamic tool exposure metadata friction so apps can describe tool permissions and safety without making every tool executable upfront.
EdgeToolProvider,type-reexport,13,13,1,3,packages/core/src/agent.ts:2; packages/core/src/context.ts:1,KEEP-CORE,core,"Absorbs dynamic tool exposure friction so apps can hydrate read and mutation tools only when intent, role, and workflow state justify them.","Absorbs dynamic tool exposure friction so apps can hydrate read and mutation tools only when intent, role, and workflow state justify them."
EdgeToolProviderContext,type-reexport,13,13,1,2,packages/core/src/context.ts:2,KEEP-CORE,core,"Absorbs phase-aware tool selection friction so dynamic tool providers can narrow tools by prompt, session, and run phase.","Absorbs phase-aware tool selection friction so dynamic tool providers can narrow tools by prompt, session, and run phase."
resolveSessionContext,re-export,14,14,1,10,packages/core/src/agent.ts:3; packages/core/src/context.ts:1; packages/core/test/agent.test.ts:2; packages/ui/src/index.ts:3; site/src/docsContent.ts:1,KEEP-CORE,core,Absorbs identity/state/session bridging friction so host apps pass public context into tool execution without leaking secrets into prompts.,Absorbs identity/state/session bridging friction so host apps pass public context into tool execution without leaking secrets into prompts.
toolsFromManifests,re-export,14,14,1,7,packages/core/src/agent.ts:2; packages/core/src/context.ts:1; packages/core/test/agent.test.ts:2; packages/ui/src/index.ts:2,KEEP-CORE,core,Absorbs manifest-to-tool hydration friction for dynamic tool exposure while keeping executable tool registration explicit.,Absorbs manifest-to-tool hydration friction for dynamic tool exposure while keeping executable tool registration explicit.
EdgeAction,type-reexport,17,17,1,5,packages/core/src/view.ts:2; packages/ui/src/index.ts:3,KEEP-SIBLING,ui,"Real adopter value for the ui cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeActionContext,type-reexport,17,17,1,4,packages/core/src/view.ts:1; packages/ui/src/index.ts:3,KEEP-SIBLING,ui,"Real adopter value for the ui cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeField,type-reexport,17,17,1,5,packages/core/src/view.ts:3; packages/ui/src/index.ts:2,KEEP-SIBLING,ui,"Real adopter value for the ui cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeFieldOption,type-reexport,17,17,1,2,packages/core/src/view.ts:2,KEEP-SIBLING,ui,"Real adopter value for the ui cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeViewNode,type-reexport,17,17,1,21,packages/core/src/agent.ts:3; packages/core/src/compat/agui.ts:3; packages/core/src/view.ts:3; packages/ui/src/index.ts:5; site/src/main.ts:7,KEEP-SIBLING,ui,"Real adopter value for the ui cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
actionsToEdgeView,re-export,19,19,1,7,packages/core/src/view.ts:1; packages/core/test/agent.test.ts:3; packages/ui/src/index.ts:2; site/src/docsContent.ts:1,KEEP-SIBLING,ui,"Real adopter value for the ui cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
ApplyMissionProfileOptions,type-reexport,22,22,1,4,packages/core/src/compat/skills.ts:2; packages/skills/src/index.ts:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeMissionProfile,type-reexport,22,22,1,23,packages/core/src/compat/skills.ts:8; packages/react/src/index.ts:4; packages/skills/src/index.ts:8; packages/ui/src/index.ts:3,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeProfileValidationIssue,type-reexport,22,22,1,12,packages/core/src/compat/skills.ts:6; packages/skills/src/index.ts:6,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeProfileValidationResult,type-reexport,22,22,1,10,packages/core/src/compat/skills.ts:3; packages/react/src/index.ts:2; packages/skills/src/index.ts:3; packages/ui/src/index.ts:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeSkill,type-reexport,22,22,1,15,packages/core/src/compat/knowledge.ts:3; packages/core/src/compat/skills.ts:5; packages/knowledge/src/index.ts:3; packages/skills/src/index.ts:4,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeValidationSeverity,type-reexport,22,22,1,4,packages/core/src/compat/skills.ts:2; packages/skills/src/index.ts:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
ValidateMissionProfileOptions,type-reexport,22,22,1,4,packages/core/src/compat/skills.ts:2; packages/skills/src/index.ts:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
applyMissionProfile,re-export,24,24,1,30,examples/cloudflare-sidecar/src/client.ts:1; packages/cli/src/index.ts:1; packages/core/src/compat/skills.ts:2; packages/core/test/profile.test.ts:3; packages/react/src/index.ts:2; packages/react/test/index.test.ts:2; packages/skills/src/index.ts:1; packages/skills/test/index.test.ts:2; packages/ui/src/index.ts:4; scripts/clean-room-adoption.mjs:1; site/src/adminDemo.ts:1; site/src/answerComposer.ts:2; site/src/docsContent.ts:4; site/src/main.ts:2; site/src/opsDemo.ts:1; tests/fixtures/fresh-app/src/main.tsx:1,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
createMissionProfile,re-export,24,24,1,48,docs/templates/knowledge-skill-starter/mission-profile.ts:2; docs/templates/mission-profile-starter/profile.ts:2; examples/cloudflare-sidecar/src/client.ts:2; packages/cli/src/index.ts:4; packages/core/src/compat/skills.ts:1; packages/core/test/compat-drift.test.ts:3; packages/core/test/profile.test.ts:11; packages/skills/src/index.ts:1; packages/skills/test/index.test.ts:4; scripts/clean-room-adoption.mjs:2; scripts/research-suite.mjs:2; site/src/cascadeDemo.ts:2; site/src/docsContent.ts:2; site/src/profiles/admin-workflow.ts:2; site/src/profiles/docs-qa.ts:2; site/src/profiles/field-ops.ts:2; site/src/profiles/public-catalog-shopping.ts:2; tests/fixtures/fresh-app/src/main.tsx:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
createSkill,re-export,24,24,1,44,docs/templates/mission-profile-starter/profile.ts:3; examples/cloudflare-sidecar/src/client.ts:2; packages/cli/src/index.ts:5; packages/core/src/compat/knowledge.ts:2; packages/core/src/compat/skills.ts:1; packages/core/test/compat-drift.test.ts:3; packages/core/test/profile.test.ts:2; packages/knowledge/src/index.ts:2; packages/skills/src/index.ts:1; packages/skills/test/index.test.ts:2; scripts/clean-room-adoption.mjs:3; site/src/docsContent.ts:1; site/src/profiles/admin-workflow.ts:4; site/src/profiles/docs-qa.ts:2; site/src/profiles/field-ops.ts:6; site/src/profiles/public-catalog-shopping.ts:3; tests/fixtures/fresh-app/src/main.tsx:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
profileToAgentOptions,re-export,24,24,1,15,packages/core/src/compat/skills.ts:3; packages/core/test/compat-drift.test.ts:3; packages/core/test/profile.test.ts:4; packages/skills/src/index.ts:2; packages/skills/test/index.test.ts:2; packages/ui/src/index.ts:1,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
skillsToTools,re-export,24,24,1,8,docs/templates/knowledge-skill-starter/mission-profile.ts:2; examples/cloudflare-sidecar/src/client.ts:2; packages/cli/src/index.ts:2; packages/core/src/compat/skills.ts:1; packages/skills/src/index.ts:1,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
validateMissionProfile,re-export,24,24,1,38,examples/cloudflare-sidecar/src/client.ts:2; packages/cli/src/index.ts:2; packages/core/src/compat/skills.ts:1; packages/core/test/profile.test.ts:6; packages/react/src/index.ts:1; packages/skills/src/index.ts:1; packages/skills/test/index.test.ts:3; packages/ui/src/index.ts:2; scripts/clean-room-adoption.mjs:2; scripts/research-suite.mjs:4; site/src/answerComposer.test.ts:1; site/src/answerComposer.ts:3; site/src/cascadeDemo.ts:2; site/src/content.ts:2; site/src/docsContent.ts:4; tests/fixtures/fresh-app/src/main.tsx:2,KEEP-SIBLING,skills,"Real adopter value for the skills cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
CreateKnowledgeSkillOptions,type-reexport,27,27,1,4,packages/core/src/compat/knowledge.ts:2; packages/knowledge/src/index.ts:2,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
CreateKnowledgeToolOptions,type-reexport,27,27,1,4,packages/core/src/compat/knowledge.ts:2; packages/knowledge/src/index.ts:2,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
CreateMarkdownMemoryStoreOptions,type-reexport,27,27,1,4,packages/core/src/compat/knowledge.ts:2; packages/knowledge/src/index.ts:2,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeKnowledgeCitation,type-reexport,27,27,1,4,packages/core/src/compat/knowledge.ts:2; packages/knowledge/src/index.ts:2,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeKnowledgeFreshness,type-reexport,27,27,1,6,packages/core/src/compat/knowledge.ts:3; packages/knowledge/src/index.ts:3,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeKnowledgeResult,type-reexport,27,27,1,20,docs/templates/knowledge-skill-starter/simple-markdown-source.ts:2; examples/cloudflare-sidecar/src/client.ts:2; packages/core/src/compat/knowledge.ts:8; packages/knowledge/src/index.ts:8,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeKnowledgeSearchContext,type-reexport,27,27,1,14,docs/templates/knowledge-skill-starter/simple-markdown-source.ts:2; packages/core/src/compat/knowledge.ts:6; packages/knowledge/src/index.ts:6,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
EdgeKnowledgeSource,type-reexport,27,27,1,32,docs/templates/knowledge-skill-starter/llamaindex-adapter.example.ts:2; docs/templates/knowledge-skill-starter/neo4j-graphrag-adapter.example.ts:2; docs/templates/knowledge-skill-starter/qdrant-adapter.example.ts:2; docs/templates/knowledge-skill-starter/simple-markdown-source.ts:2; examples/cloudflare-sidecar/src/client.ts:2; packages/cli/src/index.ts:4; packages/core/src/compat/knowledge.ts:3; packages/core/test/compat-drift.test.ts:2; packages/knowledge/src/index.ts:3; packages/knowledge/test/index.test.ts:2; scripts/research-suite.mjs:2; site/src/answerComposer.test.ts:1; site/src/answerComposer.ts:1; site/src/content.ts:1; site/src/docsContent.ts:3,KEEP-SIBLING,knowledge,"Real adopter value for the knowledge cohort, but optional enough to live outside the harness core with compatibility re-exports during extraction.",
